Year,LGA_name,LGA_code,0-19,20-64,65+,Total_population,Ratio: 65+ to 18+,Median_income,Total_EGMs,Venues,Unemployment_rate,Net_expenditure (AUD),EGMs_PV,People_PEGM,Expenditure_PP (AUD),Expenditure_PEGM (AUD),Expenditure_PV (AUD),EXP_PP_label
2014,South Gippsland (S),26170,6924,14924,6089,27937,0.2897729976681102,36052,105,4,0.0386197935465242,6514572.41,26.25,200.1238095238095,310.0258130681007,62043.54676190476,1628643.1025,Low
2014,Southern Grampians (S),26260,4055,8415,3449,15919,0.2907113958192852,36661,75,2,0.0655108215033744,6216059.359999999,37.5,158.18666666666667,523.9429669588671,82880.79146666666,3108029.6799999997,Medium
2014,Stonnington (C),26350,17792,72642,15547,105981,0.1762918277789747,58433,295,7,0.0410144950197801,21575746.540000003,42.142857142857146,298.9457627118644,244.65348898388692,73138.12386440679,3082249.505714286,Low
2014,Strathbogie (S),26430,1988,5139,2683,9810,0.3430069036052161,36045,32,1,0.0438255171001433,1262300.02,32.0,244.4375,161.37816670928152,39446.875625,1262300.02,Very Low
2014,Surf Coast (S),26490,7818,16213,4450,28481,0.2153607898175482,41345,107,4,0.0313621357829768,2855819.51,26.75,193.11214953271028,138.20933601122778,26689.90196261682,713954.8775,Very Low
2014,Swan Hill (RC),26610,5542,11378,3660,20580,0.2433834286474265,38874,134,4,0.0442331181294713,6678962.650000001,33.5,112.22388059701493,444.1390244713394,49843.00485074628,1669740.6625000003,Medium
2014,Towong (S),26670,1380,3041,1376,5797,0.3115236585918044,37417,10,1,0.043179587831207,370088.62,10.0,441.7,83.7873262395291,37008.862,370088.62,Very Low
2014,Wangaratta (RC),26700,6738,14845,5534,27117,0.2715540507385053,39255,130,4,0.0494022261921121,7856837.79,32.5,156.76153846153846,385.5359826291771,60437.213769230766,1964209.4475,Low
2014,Warrnambool (C),26730,8793,18984,5724,33501,0.2316658572122389,41638,234,8,0.0654078467649779,17318805.250000004,29.25,105.58974358974359,700.9391796179376,74011.98824786326,2164850.6562500005,High
2014,Wellington (S),26810,10590,23832,7798,42220,0.2465380967435978,40681,304,6,0.047722557059579,21566360.32,50.666666666666664,104.04605263157895,681.8324476762567,70941.97473684211,3594393.3866666667,High
2014,Whitehorse (C),26980,37230,98069,28398,163697,0.2245486964979006,44484,425,6,0.067074005400764,51944253.64,70.83333333333333,297.5694117647059,410.7336588991595,122221.77327058824,8657375.606666667,Medium
2014,Whittlesea (C),27070,51169,115231,20606,187006,0.1516965186215832,44609,648,10,0.0804642884441095,96219037.65,64.8,209.625,708.3418924887918,148486.16921296297,9621903.765,High
2014,Wodonga (RC),27170,10993,22094,5044,38131,0.1858648389711843,45288,169,4,0.0578934446354038,6900172.960000001,42.25,160.57988165680473,254.26239811334662,40829.42579881657,1725043.2400000002,Low
